frame,tiempo_s,X_mapa_px,Y_mapa_px,Z_relativa,u_LK,v_LK,escala_frame,puntos_validos,error_LK,inliers_mapa,registrado
0,0.0,135.48802185058594,1547.0733642578125,1.0,0.0,0.0,1.0,300,0.0,0,0
1,0.03333333333333333,135.44655885174373,1547.0500095504945,1.0000605583190918,-0.04192465543746948,0.05303559824824333,1.0000605583190918,297,80.81884002685547,27,1
2,0.06666666666666667,135.40509585290152,1547.0266548431764,1.00018394740556,-0.23978491127490997,0.015553521923720837,1.000123381614685,297,33.78905487060547,0,1
3,0.1,135.36363285405932,1547.0033001358581,1.0002868439465131,-0.21767906844615936,0.12709787487983704,1.0001028776168823,297,25.814115524291992,0,1
4,0.13333333333333333,135.3221698552171,1546.97994542854,1.0002968603991702,-0.05538949742913246,0.14361824095249176,1.0000100135803223,295,55.35990524291992,0,1
5,0.16666666666666666,126.59940192473428,1539.887743064972,1.0003798546951055,0.18735596537590027,-0.2003491073846817,1.0000829696655273,289,25.232181549072266,27,1
6,0.2,126.55793892589207,1539.864388357654,1.000411814920337,-0.08910837769508362,0.12298452854156494,1.0000319480895996,288,54.401023864746094,0,1
7,0.23333333333333334,126.51647592704987,1539.841033650336,1.0005195052390254,-0.23520678281784058,-0.049506355077028275,1.0001076459884644,288,30.543882369995117,0,1
8,0.26666666666666666,126.47501292820766,1539.8176789430179,1.0005557636897233,0.05286499857902527,0.1961178332567215,1.0000362396240234,285,38.70350646972656,0,1
9,0.3,126.43354992936546,1539.7943242356996,1.0006638273305446,-0.0580928772687912,0.2590949535369873,1.000108003616333,285,19.33670997619629,0,1
10,0.3333333333333333,112.86611647153887,1525.0973855440066,1.0007435119977333,-0.23831787705421448,-0.07672145962715149,1.00007963180542,284,19.836685180664062,23,1
11,0.36666666666666664,112.82465347269667,1525.0740308366885,1.0008434836572808,0.15614190697669983,0.20919814705848694,1.0000998973846436,282,34.687496185302734,0,1
12,0.4,112.78319047385446,1525.0506761293705,1.0010768537055694,0.19219374656677246,0.14763522148132324,1.0002331733703613,282,12.137182235717773,0,1
13,0.43333333333333335,112.74172747501225,1525.0273214220524,1.0009211180585962,0.13516458868980408,0.07671010494232178,0.9998444318771362,276,50.8731689453125,0,1
14,0.4666666666666667,112.70026447617005,1525.0039667147341,1.0009857890082923,0.23932617902755737,0.05676984786987305,1.0000646114349365,274,31.506210327148438,0,1
15,0.5,119.69371358670284,1514.7204801714786,1.00102886598481,-0.16815432906150818,-0.003345922566950321,1.0000430345535278,270,48.23113250732422,25,1
16,0.5333333333333333,119.65225058786064,1514.6971254641605,1.001034116590167,0.12951533496379852,0.07922796159982681,1.0000052452087402,263,58.976318359375,0,1
17,0.5666666666666667,119.61078758901843,1514.6737707568425,1.0009828035868495,-0.1836329698562622,-0.07314766943454742,0.9999487400054932,262,41.41358947753906,0,1
18,0.6,119.56932459017622,1514.6504160495244,1.0011128694161158,0.1441802978515625,0.04146263375878334,1.0001299381256104,261,41.28510665893555,0,1
19,0.6333333333333333,119.52786159133402,1514.6270613422062,1.0011713469735382,-0.09292246401309967,0.26029038429260254,1.0000584125518799,260,27.287736892700195,0,1
20,0.6666666666666666,143.66370572139806,1508.4531939395756,1.0013603956707244,0.09771250188350677,-0.07036884129047394,1.0001888275146484,260,54.76387405395508,27,1
21,0.7,143.62224272255585,1508.4298392322576,1.0014723661014728,0.0029783276841044426,-0.232789546251297,1.0001118183135986,260,11.099513053894043,0,1
22,0.7333333333333333,143.58077972371365,1508.4064845249395,1.001673171350661,0.0846143364906311,0.05992591008543968,1.0002005100250244,260,54.86627960205078,0,1
23,0.7666666666666667,143.53931672487144,1508.3831298176215,1.0018647029810395,0.001619258662685752,0.13068899512290955,1.0001912117004395,260,3.2083873748779297,0,1
24,0.8,143.49785372602923,1508.3597751103034,1.0019248964970915,0.12096893787384033,0.06185362488031387,1.0000600814819336,260,54.50715255737305,0,1
25,0.8333333333333334,165.94570957484328,1498.3883002857976,1.001983421487088,0.20535044372081757,0.14209240674972534,1.0000584125518799,260,33.385459899902344,24,1
26,0.8666666666666667,165.90424657600107,1498.3649455784796,1.001968371324879,0.07146302610635757,-0.010435130447149277,0.9999849796295166,259,53.769901275634766,0,1
27,0.9,165.86278357715887,1498.3415908711615,1.0020598653811557,0.24590009450912476,0.13344871997833252,1.000091314315796,258,24.663480758666992,0,1
28,0.9333333333333333,165.82132057831666,1498.3182361638435,1.002218143050303,0.011639643460512161,0.18219900131225586,1.0001579523086548,258,5.724226951599121,0,1
29,0.9666666666666667,165.77985757947445,1498.2948814565254,1.0025067915404469,0.014755948446691036,0.04502546787261963,1.0002880096435547,248,58.87914276123047,0,1
30,1.0,209.8266666753588,1496.5050472570197,1.0026834245453384,0.1782153844833374,0.04995184764266014,1.000176191329956,245,46.66725540161133,24,1
31,1.0333333333333334,209.7852036765166,1496.4816925497016,1.0026314891172001,0.1710657924413681,0.0017182825831696391,0.9999482035636902,245,46.70606231689453,0,1
32,1.0666666666666667,209.7437406776744,1496.4583378423836,1.0025908513014505,0.21099801361560822,0.05357487499713898,0.9999594688415527,245,40.41144561767578,0,1
33,1.1,209.7022776788322,1496.4349831350655,1.0024117533640244,0.12392331659793854,-0.047405168414115906,0.9998213648796082,242,58.04145431518555,0,1
34,1.1333333333333333,209.66081467998998,1496.4116284277475,1.0022625018696225,0.1556554138660431,0.0278153233230114,0.9998511075973511,240,52.95686340332031,0,1
35,1.1666666666666667,249.83042651024934,1496.814665321992,1.0024353879837675,0.1976577788591385,0.08010032773017883,1.00017249584198,240,42.86793899536133,32,1
