frame,tiempo_s,x_mapa_px,y_mapa_px,zoom_relativo,altitud_relativa,rapidez_instantanea_px_s,flujo_x_px,flujo_y_px,puntos_validos,error_LK
0.0,0.0,139.38168334960938,1560.67431640625,1.0,1.0,572.7140740229449,0.0,0.0,500.0,0.0
1.0,0.03333333333333333,157.2112546900699,1567.4972481496711,1.0083047151565552,0.9917636850926898,301.69475897960797,-16.826858520507812,-6.571144104003906,370.0,54.710174560546875
2.0,0.06666666666666667,158.20957297877263,1567.748402549342,1.008304835355844,0.9917635668652596,29.95884884211461,0.0,0.0,369.0,0.08142007142305374
3.0,0.1,159.20837954872533,1567.5201868318256,1.007353337672715,0.9927003391980579,30.8244929180621,-0.000457763671875,0.479400634765625,369.0,1.7434098720550537
4.0,0.13333333333333333,160.20657576711554,1567.2637728721218,1.0082438945269847,0.9918235115811415,39.62131809186107,0.0001220703125,0.507598876953125,369.0,1.571853756904602
5.0,0.16666666666666666,161.80509852359168,1567.0362895764802,1.006572143465429,0.9934707675867104,41.60244834114908,-0.60003662109375,0.47869873046875,369.0,2.8647959232330322
6.0,0.2,162.80268439041942,1566.2878101870888,1.0065810229289367,0.9934620037741351,42.58572647472298,0.000732421875,0.999603271484375,369.0,0.6981292366981506
7.0,0.23333333333333334,164.48996752287212,1566.113427477385,1.0048922300664378,0.99513158732841,53.41952092280163,-0.68878173828125,0.4256591796875,369.0,3.1597931385040283
8.0,0.26666666666666666,166.08768156352795,1564.912433439556,1.0032080674660988,0.9968021913198907,48.688316811034845,-0.5992431640625,1.45220947265625,369.0,3.266014814376831
9.0,0.3,167.08567941766037,1564.164564401727,1.0032202658216403,0.9967900710029987,48.53022815738257,0.00030517578125,0.9990234375,369.0,0.7109552025794983
10.0,0.3333333333333333,168.71154592413652,1563.0196006373355,1.0015854271173186,0.9984170824830373,60.45667989881878,-0.62738037109375,1.39630126953125,369.0,3.1773667335510254
11.0,0.36666666666666664,170.3699899452611,1561.8283722245067,0.9998931951929595,1.0001068162155258,60.41168593277043,-0.65997314453125,1.4425048828125,369.0,3.2463152408599854
12.0,0.4,171.99651257966696,1560.68951197574,0.9983239725144513,1.0016788412696607,59.781227117774456,-0.628082275390625,1.39013671875,369.0,3.528982400894165
13.0,0.43333333333333335,173.61239983809622,1559.5109788754112,0.9965936935174606,1.0034179490645951,68.20401606159311,-0.617401123046875,1.429840087890625,368.0,3.2540745735168457
14.0,0.4666666666666667,175.89636265804893,1558.3516108141448,0.9945480207659532,1.005481866255033,71.50496591573197,-1.28533935546875,1.4106597900390625,368.0,3.273207187652588
15.0,0.5,177.50999161569695,1556.7663394325657,0.9917656696355469,1.0083026975187386,67.46637354822565,-0.615203857421875,1.8365936279296875,368.0,3.3919358253479004
