frame,tiempo_s,x_mapa_px,y_mapa_px,zoom_relativo,altitud_relativa,rapidez_instantanea_px_s,flujo_x_px,flujo_y_px,puntos_validos,error_LK
0.0,0.0,139.38168334960938,1560.67431640625,1.0,1.0,491.279048631839,0.0,0.0,500.0,0.0
1.0,0.03333333333333333,155.0904154758428,1565.3012022214516,1.0138264894485474,0.9863620751751436,246.62160346528267,-15.723846435546875,-4.644500732421875,377.0,55.27416229248047
2.0,0.06666666666666667,155.07119655227152,1555.7590206538405,1.0148997043640975,0.9853190376349226,255.1565064847155,3.0517578125e-05,9.524505615234375,369.0,1.8309948444366455
3.0,0.1,155.051184171669,1548.2908136956046,1.0138846362479554,0.9863055068086072,210.26650888576293,0.00079345703125,7.450439453125,367.0,1.5941752195358276
4.0,0.13333333333333333,155.03210257719928,1541.7413079092437,1.0148588038533743,0.9853587476435578,173.48073567992654,-0.0001373291015625,6.5319976806640625,364.0,1.5847859382629395
5.0,0.16666666666666666,155.01324986456552,1536.7254935291326,1.0148520894302409,0.9853652669340425,135.49394928861088,-0.000335693359375,4.998077392578125,359.0,0.7024518251419067
6.0,0.2,154.993969905838,1532.7084584458967,1.0148542670665792,0.9853631525740979,90.51838777460199,6.103515625e-05,3.9994125366210938,357.0,0.3839285671710968
7.0,0.23333333333333334,154.97475098226673,1530.691057151723,1.014847310713349,0.9853699068257739,60.52661827281675,-3.0517578125e-05,1.99945068359375,357.0,0.3195861577987671
8.0,0.26666666666666666,154.95551679990638,1528.6735337872371,1.0148521498824257,0.985365208238317,45.52204558937657,1.52587890625e-05,1.9995899200439453,356.0,0.12914541363716125
9.0,0.3,154.9362215823898,1527.6564987040013,1.0148494278368405,0.9853678512008504,30.529301849891443,7.62939453125e-05,0.998931884765625,356.0,0.33836451172828674
10.0,0.3333333333333333,154.91712472913102,1526.6386091285776,1.014853299180178,0.9853640923351417,15.552811893153875,-0.0001220703125,0.9997711181640625,356.0,0.29432398080825806
11.0,0.36666666666666664,154.8978905467707,1526.6203533422167,1.014853299180178,0.9853640923351417,0.6416462822933365,0.0,0.0,356.0,0.0
12.0,0.4,154.8778629073791,1526.6216288058558,1.0148352731689998,0.9853815948644807,8.313755644863708,0.00079345703125,-0.01953887939453125,356.0,1.9635417461395264
13.0,0.43333333333333335,154.85843036076096,1527.1731972382447,1.013913785327903,0.9862771514410338,14.622882265534418,0.000152587890625,-0.5699615478515625,356.0,1.7096443176269531
14.0,0.4666666666666667,154.8396234244944,1527.5957373503213,1.0147603443937738,0.9854543543455162,21.060911082430906,-0.00042724609375,-0.4408111572265625,356.0,1.4248157739639282
15.0,0.5,154.82063338275904,1528.5767491420852,1.0147583484075884,0.9854562926920011,145.78404004680985,-0.000244140625,-0.9994544982910156,356.0,0.4956774115562439
16.0,0.5333333333333333,164.35840603633622,1529.5580050744743,1.0143074983542166,0.985894318658364,315.64310546732963,-9.555084228515625,-0.998992919921875,356.0,2.3493125438690186
17.0,0.5666666666666667,175.77166697116337,1530.540603780301,1.0147056710417568,0.9855074516074607,344.83944192100097,-11.430328369140625,-1.000274658203125,356.0,2.116567611694336
18.0,0.6,187.26387688059992,1531.5194183064398,1.0142848430534237,0.9859163398218391,354.66179173196457,-11.509307861328125,-0.9964065551757812,356.0,2.362847328186035
19.0,0.6333333333333333,199.22979589648176,1533.5004300982039,1.01428847041869,0.9859128139228558,353.77670526220317,-11.98297119140625,-1.99884033203125,356.0,0.9421414136886597
20.0,0.6666666666666666,210.66220661158238,1534.4818081009055,1.014664266804224,0.9855476660763757,346.001530014788,-11.449722290039062,-0.999053955078125,356.0,2.316716194152832
21.0,0.7,222.10581727785484,1536.4607446973569,1.0142701270955403,0.9859306443970659,348.689121804705,-11.460891723632812,-1.996826171875,356.0,2.5177507400512695
22.0,0.7333333333333333,233.5686082419789,1538.4404137156835,1.0146251200923704,0.9855856909091321,347.47136126943457,-11.480087280273438,-1.997467041015625,356.0,2.3172831535339355
23.0,0.7666666666666667,245.00050015825136,1539.9877096871348,1.012955730378664,0.9872099737529291,346.48440283967545,-11.449302673339844,-1.5651397705078125,356.0,2.9490857124328613
24.0,0.8,256.4779243010863,1541.394258588274,1.014573468139194,0.9856358670940579,347.2690736782051,-11.494949340820312,-1.424285888671875,356.0,3.2463505268096924
25.0,0.8333333333333334,267.902537774976,1543.3756365909755,1.0142305845782773,0.9859690835647651,357.267193954806,-11.442092895507812,-1.9993057250976562,353.0,2.4251701831817627
26.0,0.8666666666666667,279.86435217660005,1545.906819281177,1.0131440654384734,0.987026459625182,359.7434613159188,-11.979171752929688,-2.549072265625,349.0,1.9299886226654053
27.0,0.9,291.3640999278335,1548.349012713566,1.0147451953131221,0.985469066144657,349.8007234565654,-11.517196655273438,-2.4602203369140625,344.0,2.9868550300598145
28.0,0.9333333333333333,302.7620410384419,1550.3250196225176,1.0134617953557425,0.9867170174372314,340.731760392602,-11.415573120117188,-1.993865966796875,339.0,2.3126416206359863
29.0,0.9666666666666667,313.7323698443628,1552.3052989924065,1.0134538216277422,0.986724780803398,345.3255395183716,-10.988044738769531,-1.9982757568359375,336.0,0.8759920597076416
30.0,1.0,325.2434701346587,1555.283259026358,1.0137251678729566,0.9864606618165006,351.20449725429967,-11.528488159179688,-2.9959869384765625,330.0,2.3218536376953125
31.0,1.0333333333333334,336.61519664565776,1557.262561833747,1.013435924271479,0.9867422064388159,351.6615933760316,-11.38946533203125,-1.9972686767578125,327.0,2.1382510662078857
32.0,1.0666666666666667,348.15760797110994,1560.239911516136,1.0137044870723222,0.9864807868100672,351.3752807905374,-11.559890747070312,-2.995361328125,319.0,2.1552579402923584
33.0,1.1,359.5096201266402,1562.2200688157127,1.0133423206261423,0.9868333529997069,351.7044850694717,-11.369781494140625,-1.99810791015625,316.0,2.1804137229919434
34.0,1.1333333333333333,371.074644977483,1565.1966860762266,1.0136965056928513,0.9864885539055006,354.8502351185971,-11.582534790039062,-2.9947128295898438,310.0,2.226367473602295
35.0,1.1666666666666667,382.40437930098204,1568.1756226726782,1.013342740619979,0.9868329439930503,344.0328412100976,-11.347236633300781,-2.997039794921875,300.0,2.0508432388305664
36.0,1.2,393.35319321432485,1570.6468688394423,1.0121882562797757,0.9879585085045615,346.8596681159399,-10.966522216796875,-2.489349365234375,297.0,2.6092686653137207
37.0,1.2333333333333334,404.99152128782384,1573.1293454749562,1.0139621119129831,0.9862301443525916,353.239987746772,-11.65606689453125,-2.500518798828125,289.0,2.9612386226654053
38.0,1.2666666666666666,416.26028149022915,1576.1091365635953,1.0135544653496407,0.9866268012099726,345.4092334042577,-11.286346435546875,-2.9978713989257812,285.0,2.002692699432373
39.0,1.3,427.2340893000563,1579.0895380037966,1.013558815053519,0.9866225670852627,353.08155179858795,-10.99139404296875,-2.9985504150390625,279.0,0.7565192580223083
40.0,1.3333333333333333,438.89579383839913,1582.5672538971232,1.0127674676143261,0.987393485649375,355.2161744689764,-11.67901611328125,-3.4958953857421875,272.0,2.9061436653137207
41.0,1.3666666666666667,449.86734334744506,1586.0558340482623,1.0140641216720885,0.9861309345518524,345.824529711243,-10.988876342773438,-3.5067291259765625,260.0,1.9399447441101074
42.0,1.4,461.0256299170378,1589.0326954494012,1.0136365483728766,0.9865469054023689,343.845452267112,-11.175872802734375,-2.994903564453125,243.0,1.9052579402923584
43.0,1.4333333333333333,472.0024894846775,1592.0140734521028,1.01366566958204,0.986518563277698,356.27671685315977,-10.994443893432617,-2.999542236328125,229.0,0.7392290234565735
44.0,1.4666666666666666,483.73554412067654,1595.990202431367,1.0141685988543103,0.986029345741609,356.226314924596,-11.750068664550781,-3.994293212890625,217.0,2.2197420597076416
45.0,1.5,494.70941296565996,1598.9698714496933,1.0141602568703576,0.9860374563345093,345.381294187494,-10.991432189941406,-2.997802734375,209.0,0.875
46.0,1.5333333333333334,505.68425837314334,1602.9489301164574,1.0141437543856708,0.9860535014641602,347.12902692908204,-10.99178695678711,-3.997281074523926,192.0,0.8301091194152832
47.0,1.5666666666666667,516.7811740931268,1605.9259135879088,1.0138352898836562,0.9863535132168817,346.93838250972317,-11.114452362060547,-2.995147705078125,178.0,1.58134925365448
48.0,1.6,527.7472304381101,1609.8905679577979,1.013907563317264,0.9862832038931026,350.0344570123744,-10.983053207397461,-3.9827938079833984,164.0,2.154017925262451
49.0,1.6333333333333333,538.7225030916874,1613.871335608937,1.0139197709044936,0.9862713290499542,349.8547704324896,-10.992156028747559,-3.9990158081054688,492.0,0.6650722622871399
50.0,1.6666666666666667,549.6713475226082,1617.8483190803884,1.0139212213283602,0.9862699181795193,349.34568119397215,-10.965744018554688,-3.9950714111328125,473.0,1.3330498933792114
51.0,1.7,560.6126846293105,1621.823105286215,1.0139240013114146,0.9862672140185998,349.2732509235863,-10.958187103271484,-3.99298095703125,466.0,1.5526148080825806
52.0,1.7333333333333334,571.5570124586689,1625.7983797732916,1.0139275065170503,0.9862638044361842,349.3184688311503,-10.961082458496094,-3.9933862686157227,456.0,1.5847506523132324
53.0,1.7666666666666666,582.5016454638085,1629.772921838493,1.0139277482562057,0.9862635692926255,351.8421925658076,-10.961395263671875,-3.992706298828125,429.0,1.5347222089767456
54.0,1.8,593.4336441916045,1634.260281286507,1.0130281157748369,0.9871394331786418,348.5857593985166,-10.948333740234375,-4.505523681640625,409.0,3.2285289764404297
55.0,1.8333333333333333,603.9513973139316,1638.7150479610834,1.0147238608617106,0.9854897855174047,346.384592120905,-10.534088134765625,-4.4728546142578125,402.0,3.7768211364746094
56.0,1.8666666666666667,614.9304541471963,1642.6948390497225,1.0147092241559348,0.98550400074645,347.19860506941995,-10.995697021484375,-3.997814178466797,392.0,0.9590773582458496
57.0,1.9,625.2967790468672,1647.6670617789866,1.01413906615975,0.9860580598543643,353.1933896296417,-10.382171630859375,-4.9903564453125,375.0,2.749645709991455
58.0,1.9333333333333333,636.2707089270068,1652.6456321645005,1.0142374745249823,0.9859623856516933,355.2769392781335,-10.9896240234375,-4.99650764465332,360.0,0.9686791300773621
59.0,1.9666666666666666,646.7905372446465,1657.6171224718896,1.0148091205930252,0.985406989065716,343.752465149005,-10.535514831542969,-4.989502906799316,348.0,2.346407413482666
60.0,2.0,657.1467303083799,1662.0993549667787,1.0132365103145202,0.9869364060811315,350.08860230319283,-10.372222900390625,-4.500213623046875,343.0,3.430555582046509
61.0,2.033333333333333,668.1252378252383,1667.08024468823,1.013237597399361,0.9869353472143775,358.59762620517284,-10.993999481201172,-4.998779296875,331.0,0.5026927590370178
62.0,2.066666666666667,678.6602638967843,1672.5247574565567,1.0149044626103843,0.9853144180960154,345.1544114469006,-10.550018310546875,-5.46234130859375,321.0,2.812570810317993
63.0,2.1,688.6388934839551,1677.504426474883,1.0148982923223469,0.9853204085226552,339.6145992923015,-9.993988037109375,-4.997566223144531,307.0,0.951884925365448
64.0,2.1333333333333333,698.9956358640949,1682.4789685400847,1.0142490246863163,0.9859511576156328,353.90939325116864,-10.372085571289062,-4.99237060546875,301.0,2.2361111640930176
65.0,2.1666666666666665,709.5384744356408,1688.4535106052863,1.014894672902543,0.985323922471733,356.194544548075,-10.557090759277344,-5.9922075271606445,292.0,2.1584112644195557
66.0,2.2,719.5142353704679,1694.4319589204877,1.0148997542672058,0.9853189891863123,346.37410320601566,-9.989852905273438,-5.9959869384765625,284.0,0.9381023645401001
67.0,2.2333333333333334,729.8688415201389,1699.4033271575643,1.0142175171529775,0.9859817870303723,346.38309420024507,-10.36962890625,-4.989105224609375,269.0,2.56632661819458
68.0,2.2666666666666666,739.8451517713722,1705.3820196133909,1.014219451619372,0.9859799064229459,348.7690612609763,-9.990310668945312,-5.996124267578125,263.0,0.894132673740387
69.0,2.3,749.8115743272932,1711.3577823817172,1.0142152804182525,0.9859839614993867,356.4428334192307,-9.980255126953125,-5.9932861328125,252.0,0.9563846588134766
70.0,2.3333333333333335,759.7704285238391,1718.3302492516063,1.0142233809784156,0.9859760864862982,351.1412480751424,-9.971527099609375,-6.989616394042969,241.0,1.115858793258667
71.0,2.3666666666666667,769.3202251031975,1724.2966126058702,1.0148334668449166,0.9853833487665387,346.75260051881986,-9.563407897949219,-5.9836273193359375,232.0,3.4639668464660645
72.0,2.4,779.2746847684934,1730.7388060382593,1.0138886319717102,0.98630161978964,348.0265886124816,-9.967422485351562,-6.459228515625,225.0,3.0639171600341797
73.0,2.433333333333333,788.5953553712893,1737.211394978461,1.0141489750600112,0.9860484254207583,348.09264367816587,-9.333518981933594,-6.48956298828125,216.0,3.9057540893554688
74.0,2.466666666666667,798.1879375951789,1744.1855708327248,1.0147558728736654,0.9854586967485307,352.6419205609833,-9.604690551757812,-6.99102783203125,207.0,3.14717960357666
75.0,2.5,807.5197165964124,1751.159990827614,1.0141024019729792,0.9860937101169049,352.93317088436135,-9.343833923339844,-6.9910430908203125,200.0,2.673044204711914
76.0,2.533333333333333,817.1367739179583,1758.133678400628,1.0147176133553253,0.9854958530712213,348.79070919611047,-9.62890625,-6.9902496337890625,192.0,2.80987811088562
77.0,2.566666666666667,826.1207745988793,1765.1131032783294,1.0146976543339712,0.9855152376954902,350.6615148266541,-8.9957275390625,-6.9958953857421875,187.0,0.9190759658813477
78.0,2.6,835.1025780141752,1773.0914295232185,1.0146844695428447,0.9855280434621605,354.41293584082626,-8.992172241210938,-7.9943389892578125,172.0,0.8251842260360718
79.0,2.6333333333333333,844.069244710721,1780.4790575259199,1.014257602356654,0.9859428193355158,343.3263930417986,-8.9776611328125,-7.4037628173828125,159.0,2.3621740341186523
80.0,2.6666666666666665,852.4964216611733,1787.9687363098715,1.0143267622635836,0.9858755947327941,349.3604081448866,-8.437797546386719,-7.505470275878906,496.0,4.846655368804932
81.0,2.7,861.4792016389691,1795.9499922422606,1.0143260367605473,0.985876299886474,354.79067097584084,-8.992782592773438,-7.99676513671875,465.0,0.9570578336715698
82.0,2.7333333333333334,869.9576481206714,1803.923557744962,1.0152404117665057,0.9849883716311217,343.9183277919129,-8.48822021484375,-7.988983154296875,445.0,2.385983467102051
83.0,2.7666666666666666,877.946226438311,1811.903837114851,1.0152404117665057,0.9849883716311217,353.71717027406646,-7.998161315917969,-7.9954986572265625,434.0,0.6530258059501648
84.0,2.8,886.3712671582944,1820.8546975394277,1.0142283916168944,0.9859712154239625,353.78951390186194,-8.433258056640625,-8.965526580810547,414.0,3.362847328186035
85.0,2.8333333333333335,894.3617375657778,1828.8398597218165,1.0142456810956733,0.9859544079297593,349.4357698919838,-7.999664306640625,-7.99993896484375,399.0,0.12641723453998566
86.0,2.8666666666666667,902.3356064107612,1837.8202611620181,1.0142493083208854,0.9859508818946344,349.09291113907005,-7.98175048828125,-8.99467658996582,386.0,0.8030045032501221
87.0,2.9,910.3025782830883,1845.796146000657,1.0142460438065197,0.985954055336461,343.7287324298751,-7.9759521484375,-7.990360260009766,368.0,0.9886621236801147
88.0,2.933333333333333,917.7672308194781,1854.7605562299211,1.0152145132845178,0.9850134990335251,355.2331580501759,-7.472137451171875,-8.978240966796875,355.0,2.4022817611694336
89.0,2.966666666666667,925.7580064027427,1863.7398590373102,1.0152045893984465,0.98502312779392,355.0778159560285,-7.998027801513672,-8.99285888671875,342.0,0.9288194179534912
90.0,3.0,933.2107570836637,1872.700851297824,1.0143264550881206,0.9858758932922873,345.4699716798686,-7.4600067138671875,-8.974342346191406,328.0,2.6263108253479004
91.0,3.033333333333333,940.2001288583346,1881.6805203161507,1.014339997807362,0.9858627306047678,345.49888742683646,-6.996299743652344,-8.992721557617188,303.0,0.8878968358039856
92.0,3.066666666666667,947.6495836408179,1890.6466395297898,1.0152639379799444,0.9849655469785376,357.3233840610289,-7.4563140869140625,-8.979011535644531,285.0,2.401360511779785
93.0,3.1,954.6404812943952,1900.6263085481162,1.0152544977263096,0.9849747055930582,353.3189914145205,-6.9962921142578125,-9.9915771484375,275.0,0.9118480682373047
94.0,3.1333333333333333,961.629120647191,1909.6042685820678,1.0152581285593312,0.9849711830616095,340.85896645083886,-6.995048522949219,-8.990452766418457,268.0,0.8620322942733765
95.0,3.1666666666666665,968.112144765612,1918.9263448269567,1.0136676969802898,0.9865165901793992,348.03487306815964,-6.4888916015625,-9.333984375,261.0,3.2612669467926025
96.0,3.2,975.0897367551266,1928.5029376734083,1.0143808864328876,0.9858229915160778,355.9717586538046,-6.982975006103516,-9.588005065917969,246.0,2.629854202270508
97.0,3.2333333333333334,981.5551827485475,1938.4830949729849,1.0152138083605482,0.9850141829876047,356.9489533268997,-6.47003173828125,-9.99102783203125,236.0,2.5966200828552246
98.0,3.2666666666666666,988.052733234156,1948.4588577413112,1.0145355354231362,0.9856727192733827,344.43861650435446,-6.501983642578125,-9.986335754394531,227.0,2.5192034244537354
99.0,3.3,994.5205595986706,1957.4351087908879,1.01534633099607,0.9848856192930594,340.30279443264936,-6.473480224609375,-8.987361907958984,217.0,2.4616637229919434
100.0,3.3333333333333335,1000.5113962170915,1967.4186840592145,1.0153637605709962,0.984868712901122,349.26254052089723,-5.9950408935546875,-9.993507385253906,206.0,0.8570719957351685
101.0,3.3666666666666667,1006.5025380112937,1977.3996958509783,1.0153686022026975,0.9848640167035325,349.1750882546608,-5.995086669921875,-9.990692138671875,197.0,0.7952097654342651
102.0,3.4,1012.4916046101833,1987.3775338146174,1.0153734438574855,0.9848593205283362,362.04980105580773,-5.992912292480469,-9.987213134765625,188.0,0.7755101919174194
103.0,3.433333333333333,1018.4820750176668,1998.3536627938813,1.0153843376327039,0.9848487542475085,357.8481221426998,-5.992729187011719,-10.984298706054688,184.0,0.8943452835083008
104.0,3.466666666666667,1023.9403188626502,2008.307452905958,1.0145983433179835,0.9856117019960398,344.888528033781,-5.4617919921875,-9.962532043457031,177.0,2.471867799758911
105.0,3.5,1029.9341462037273,2018.2912723149095,1.0145764514498523,0.9856329688817218,345.1648084459193,-5.9971923828125,-9.9923095703125,165.0,0.9071003198623657
106.0,3.533333333333333,1035.4042919041794,2028.259466723861,1.0153646626446178,0.9848678379208126,354.4041274146252,-5.47332763671875,-9.97637939453125,488.0,3.5378756523132324
107.0,3.566666666666667,1040.8802969796318,2039.2296142578125,1.0145870959025756,0.9856226281987167,350.8669722320528,-5.4776153564453125,-10.976890563964844,476.0,2.8698978424072266
108.0,3.6,1045.8591096722714,2049.184136791764,1.014639345527952,0.9855718728112848,351.2584161747414,-4.981818199157715,-9.961840629577637,462.0,3.1686508655548096
109.0,3.6333333333333333,1051.3624584977235,2060.169787255403,1.0154613518718185,0.9847740617175451,351.8250755432991,-5.504669189453125,-10.991762161254883,452.0,3.0593819618225098
110.0,3.6666666666666665,1056.3581168934882,2070.158123265917,1.015451062415581,0.9847840403270388,348.4809200435858,-4.998291015625,-9.995147705078125,443.0,0.8443168997764587
111.0,3.7,1061.3545077111278,2081.143285448306,1.015449730852384,0.9847853316781962,348.36898213260974,-4.9973907470703125,-10.990577697753906,433.0,0.8042800426483154
112.0,3.7333333333333334,1066.3487012631426,2091.124053099445,1.0154457966935517,0.98478914704867,344.4280444134741,-4.996795654296875,-9.98687744140625,421.0,0.8244756460189819
113.0,3.7666666666666666,1070.7736809479698,2102.084312938084,1.0145556513123413,0.9856531760544497,358.23098306559535,-4.4259033203125,-10.964820861816406,407.0,2.9064626693725586
114.0,3.8,1075.7700717656094,2113.0692309798483,1.0145590377571765,0.9856498860930151,359.0230256066422,-4.9968719482421875,-10.988990783691406,394.0,0.9785997867584229
